block_id,bikes_allowed,route_id,wheelchair_accessible,direction_id,trip_headsign,shape_id,service_id,trip_id,trip_short_name
b_401117,0,16,0,1,16 W LAKE LANSING RD - DOWNTOWN,43683,3_merged_3142146,3116772,
b_401117,0,16,0,1,16 W LAKE LANSING RD - DOWNTOWN,43683,3_merged_3142146,3116773,
b_401117,0,16,0,1,16 W LAKE LANSING RD - DOWNTOWN,43683,3_merged_3142146,3116770,
b_401117,0,16,0,1,16 W LAKE LANSING RD - DOWNTOWN,43683,3_merged_3142146,3116771,
b_401117,0,16,0,1,16 W LAKE LANSING RD - DOWNTOWN,43683,3_merged_3142146,3116776,
b_401117,0,16,0,1,16 W LAKE LANSING RD - DOWNTOWN,43683,3_merged_3142146,3116777,
a_400102,0,08,0,1,8 PENNSYLVANIA - DOWNTOWN,43522,1_merged_3142134,3102098,
a_399951,0,08,0,1,8 PENNSYLVANIA - DOWNTOWN,43522,1_merged_3142134,3102099,
a_400101,0,08,0,1,8 PENNSYLVANIA - DOWNTOWN,43522,1_merged_3142134,3102096,
a_400100,0,08,0,1,8 PENNSYLVANIA - DOWNTOWN,43522,1_merged_3142134,3102097,
a_400102,0,08,0,1,8 PENNSYLVANIA - DOWNTOWN,43522,1_merged_3142134,3102094,
a_399951,0,08,0,1,8 PENNSYLVANIA - DOWNTOWN,43522,1_merged_3142134,3102095,
a_400100,0,08,0,1,8 PENNSYLVANIA - DOWNTOWN,43522,1_merged_3142134,3102092,
a_400101,0,08,0,1,8 PENNSYLVANIA - DOWNTOWN,43522,1_merged_3142134,3102093,
a_400102,0,08,0,1,8 PENNSYLVANIA - DOWNTOWN,43522,1_merged_3142134,3102090,
a_400101,0,08,0,1,8 PENNSYLVANIA - DOWNTOWN,43522,1_merged_3142134,3102091,
a_400373,0,25,0,1,NORTH HARRISON - E LANSING/MSU,43565,3_merged_3142135,3107118,
a_400373,0,25,0,1,NORTH HARRISON - E LANSING/MSU,43565,3_merged_3142135,3107119,
a_400373,0,25,0,1,NORTH HARRISON - E LANSING/MSU,43565,3_merged_3142135,3107110,
